FoodId,Unit,GramsPerUnit,IsDefault
368,Gram,1,false
368,Milliliter,1,true
369,Gram,1,false
369,Milliliter,1,true
370,Gram,1,false
370,Milliliter,1,true
371,Gram,1,false
371,Milliliter,1,true
372,Gram,1,false
372,Milliliter,1,true
373,Gram,1,false
373,Milliliter,1,true
374,Gram,1,false
374,Milliliter,1,true
375,Gram,1,false
375,Milliliter,1,true
376,Gram,1,false
376,Milliliter,1,true
377,Gram,1,false
377,Milliliter,1,true
378,Gram,1,false
378,Milliliter,1,true
379,Gram,1,false
379,Milliliter,1,true
380,Gram,1,false
380,Milliliter,1,true
381,Gram,1,false
381,Milliliter,1,true
382,Gram,1,true
382,Tablespoon,6,false
382,Teaspoon,2,false
383,Gram,1,true
383,Tablespoon,6,false
383,Teaspoon,2,false
384,Gram,1,true
384,Tablespoon,6,false
384,Teaspoon,2,false
385,Gram,1,true
385,Tablespoon,7,false
385,Teaspoon,2,false
386,Gram,1,true
386,Tablespoon,7,false
386,Teaspoon,2,false
387,Gram,1,true
387,Tablespoon,3,false
387,Teaspoon,1,false
388,Gram,1,true
388,Tablespoon,14,false
388,Teaspoon,5,false
389,Gram,1,false
389,Milliliter,1,true
390,Gram,1,true
390,Tablespoon,5,false
390,Teaspoon,2,false
391,Gram,1,true
391,Tablespoon,8,false
391,Teaspoon,3,false
392,Gram,1,true
392,Tablespoon,9,false
392,Teaspoon,3,false
393,Gram,1,true
393,Tablespoon,8,false
393,Teaspoon,3,false
394,Gram,1,true
394,Tablespoon,14,false
394,Teaspoon,5,false
395,Gram,1,false
395,Milliliter,0.92,true
395,Tablespoon,14,false
395,Teaspoon,4.6,false
396,Gram,1,true
396,Tablespoon,15,false
396,Teaspoon,5,false
397,Gram,1,true
397,Tablespoon,18,false
397,Teaspoon,6,false
398,Gram,1,true
398,Tablespoon,18,false
398,Teaspoon,6,false
399,Gram,1,true
399,Tablespoon,15,false
399,Teaspoon,5,false
400,Gram,1,true
400,Piece,7,false
401,Gram,1,true
401,Tablespoon,9,false
401,Teaspoon,3,false
402,Gram,1,true
402,Tablespoon,6,false
402,Teaspoon,2,false
403,Gram,1,true
403,Tablespoon,6,false
403,Teaspoon,2,false
404,Gram,1,true
404,Tablespoon,7,false
404,Teaspoon,2,false
405,Gram,1,true
405,Tablespoon,6,false
405,Teaspoon,2,false
406,Gram,1,true
406,Tablespoon,7,false
406,Teaspoon,2,false
407,Gram,1,true
407,Tablespoon,7,false
407,Teaspoon,2,false
408,Gram,1,true
408,Piece,0.2,false
409,Gram,1,true
409,Tablespoon,8,false
409,Teaspoon,3,false
410,Gram,1,true
410,Tablespoon,6,false
410,Teaspoon,2,false
